"concurrency","requests","ok","failed","elapsed_s","rps","rx_mb","throughput_mb_s","p50_s","p99_s","idle_mb","predicted_mb","peak_mb","delta_mb","threads_max"
"10","20","20","0","15.078265","1.3264125547601133","146.86681747436523","9.740299528783002","7.7545602","7.7629102","2.9","98","29.8","26.9","44"
"20","40","40","0","15.3559174","2.6048590232713806","293.73363494873047","19.12836773586256","7.6211639","7.7425608","6.2","61","50.2","44","65"
"40","80","80","0","15.6942997","5.097392144231832","587.4672698974609","37.43188808210799","7.8127834","7.8975641","11","99","115.1","104.1","119"
"80","160","160","0","15.8886807","10.070062015910484","1174.9345397949219","73.94789800231317","7.7860186","7.9674481","17","226","183.7","166.7","112"
"160","320","320","0","16.3001226","19.631754180793706","2349.8690795898438","144.16266289861179","7.5107778","8.16782","29","359","408.4","379.4","206"
"320","640","640","0","25.1536357","25.443637954890157","4699.723423957825","186.84072076140566","12.4175467","16.9102347","74.7","833","1049.2","974.5","475"
