"concurrency","requests","ok","failed","elapsed_s","rps","rx_mb","throughput_mb_s","p50_s","p99_s","idle_mb","predicted_mb","peak_mb","delta_mb","threads_max"
"10","20","20","0","15.7595784","1.2690694822140673","146.86681747436523","9.31920980033103","7.8613057","7.8890776","20.1","115","125.2","105.1","22"
"20","40","40","0","15.707682","2.546524687729227","293.73363494873047","18.699998825334664","7.8483373","7.9739474999999995","20.3","230","231.2","210.9","22"
"40","80","80","0","15.5938698","5.1302211077842905","587.4672698974609","37.67296235200456","7.7264297","7.8430667","23","445","433.1","410.1","22"
"80","160","160","0","16.0138403","9.991357288607407","1174.9345397949219","73.36994236135364","7.844704","8.0930844","14.8","835","868.2","853.4","22"
